"Country.Name","Country.Code","Region","IncomeGroup","Year","Life.Expectancy.World.Bank","Prevelance.of.Undernourishment","CO2","Health.Expenditure..","Education.Expenditure..","Unemployment","Sanitation","Injuries","Communicable","NonCommunicable"
"Madagascar","MDG","Sub-Saharan Africa","Low income",2001,59.129,33.8,1670,4.75725555,2.707200050354,5.34999990463257,3.831344237,470651.04,7463686.06,2701577.95
"Mexico","MEX","Latin America & Caribbean","Upper middle income",2001,74.658,3.3,378830,4.8203578,4.24104022979736,2.63000011444092,17.96506537,3591742.93,5739024.98,16682733.14
"Mali","MLI","Sub-Saharan Africa","Low income",2001,48.758,16.2,1610,4.51951408,2.65844988822937,6.30299997329712,6.76331851,636033.28,10054240.09,2017488.66
"Malawi","MWI","Sub-Saharan Africa","Low income",2001,45.204,23.6,680,2.38508582,4.50897979736328,5.83500003814697,19.43719936,405908.25,10740293.29,1955136.44
"Malaysia","MYS","East Asia & Pacific","Upper middle income",2001,72.782,2.5,129460,2.6753974,7.48446989059448,3.52999997138977,65.8615045,675010.81,1040202.68,3668019.93
"Netherlands","NLD","Europe & Central Asia","High income",2001,78.190243902439,2.5,167120,8.05946636,4.69964981079102,2.11999988555908,97.44117906,328011.25,241782.63,3924951.1
"Norway","NOR","Europe & Central Asia","High income",2001,78.7853658536585,2.5,34720,8.02202415,6.83062982559204,3.74000000953674,58.89494297,126946.72,61441.66,1128969.34
"Nepal","NPL","South Asia","Lower middle income",2001,62.945,23.5,3460,3.80386233,3.70837998390198,1.74600005149841,11.35443284,847450.08,6570763.59,3917088.08
"New Zealand","NZL","East Asia & Pacific","High income",2001,78.6926829268293,2.5,31620,7.5789361,6.56049013137817,5.42999982833862,74.93483797,150122.03,43015.81,848323.44
"Peru","PER","Latin America & Caribbean","Upper middle income",2001,71.505,21.5,26540,4.72161007,3.03712010383606,5.02600002288818,12.33495746,1024199.73,2402121.42,3770040.66
"Philippines","PHL","East Asia & Pacific","Lower middle income",2001,68.835,18.7,70480,2.84775901,2.92463994026184,3.70000004768372,43.52262482,2887545.85,9955777.05,13181817.63
"Poland","POL","Europe & Central Asia","High income",2001,74.2,2.5,293630,5.66721439,5.31902980804443,18.3700008392334,79.901623,1736920.98,592229.85,10233665.17
"Portugal","PRT","Europe & Central Asia","High income",2001,76.8146341463415,2.5,61380,8.62751484,5.33713006973267,3.82999992370605,50.83873125,336954.98,237045.28,2897529.91
"Paraguay","PRY","Latin America & Caribbean","Upper middle income",2001,70.786,10.5,3610,5.60815763,3.83357000350952,6.21000003814697,44.94455986,175296.01,358853.73,759227.57
"Romania","ROU","Europe & Central Asia","High income",2001,71.1609756097561,2.5,95230,4.37598133,3.26628994941711,6.55999994277954,51.9938812,1013547.64,737648.7,6958880.79
"Saudi Arabia","SAU","Middle East & North Africa","High income",2001,72.759,4.9,254090,4.46173573,7.71887016296387,4.61999988555908,37.28527113,1154674.35,982640.87,3255472.18
"Senegal","SEN","Sub-Saharan Africa","Lower middle income",2001,58.177,24.1,4460,3.67916536,2.47150993347168,5.60699987411499,14.2940866,319771.29,4508804.21,1639502.57
"Sierra Leone","SLE","Sub-Saharan Africa","Low income",2001,40.369,50.7,440,10.97251225,3.43271994590759,3.45700001716614,9.025286617,215749.14,3974083.31,919964.08
"Slovenia","SVN","Europe & Central Asia","High income",2001,75.7585365853659,2.5,15380,7.87602425,5.7568302154541,5.67999982833862,26.72192345,104446.68,27472.9,516992.02
"Sweden","SWE","Europe & Central Asia","High income",2001,79.7951219512195,2.5,52500,7.90032959,6.61764001846313,4.73000001907349,93.04732631,234811.5,100823.72,2289027.28
"Chad","TCD","Sub-Saharan Africa","Low income",2001,47.789,38.8,340,5.29329205,2.42614006996155,0.810000002384186,8.625477197,428255.62,7738497.78,1490869.54
"Togo","TGO","Sub-Saharan Africa","Low income",2001,53.554,31.3,1180,2.88543582,3.76704001426697,4.01900005340576,5.71613038,190442.49,2816445.41,765884.83
"Thailand","THA","East Asia & Pacific","Upper middle income",2001,70.832,17.3,173160,3.02623773,4.81787014007568,2.59999990463257,20.05491674,3853836.67,4314043.74,11879825.13
"Tunisia","TUN","Middle East & North Africa","Lower middle income",2001,73.415,4.4,21570,5.09929466,6.20184993743896,14.3999996185303,55.13118286,334001.48,452896.66,1755917.59
"Ukraine","UKR","Europe & Central Asia","Lower middle income",2001,67.8370731707317,3,300550,5.72534418,4.52568006515503,11.0600004196167,42.36141509,3794205.08,1475901.04,18914355.11
"Samoa","WSM","East Asia & Pacific","Lower middle income",2001,69.103,3.5,160,3.93347454,3.82628989219666,4.96000003814697,47.81901745,6181.01,9353.72,35417.63
"Albania","ALB","Europe & Central Asia","Upper middle income",2002,74.579,6.1,3759.99999046326,6.90934134,3.11779999732971,17.8950004577637,40.80820221,111169.56,128986.61,544332.18
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2002,73.932,3.8,117470.001220703,7.3933115,4.01734018325806,19.5900001525879,48.26404854,1399269.32,1557396.78,8194861.85
"Armenia","ARM","Europe & Central Asia","Upper middle income",2002,72.112,24.5,3119.99988555908,7.61359835,2.13504004478455,10.7760000228882,46.43120892,98830.06,115370.74,774712.2
"Austria","AUT","Europe & Central Asia","High income",2002,78.6780487804878,2.5,69370.002746582,9.3947649,5.52213001251221,4.84999990463257,99.6771794,239073.82,77002.74,2109744.02
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2002,67.391,13.4,26180.0003051758,2.73279428,3.15445995330811,10.039999961853,20.52351408,232758.51,872912.98,1853916.87
"Bangladesh","BGD","South Asia","Lower middle income",2002,66.43,15.1,27430.0003051758,2.25972915,2.01714992523193,3.89800000190735,19.82435712,4902787.92,28077045.24,20912715.8
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2002,71.8658536585366,4.2,43599.9984741211,7.0809865,3.38608002662659,18.1100006103516,50.70176125,366483.94,174906.52,3104930.18
"Brazil","BRA","Latin America & Caribbean","Upper middle income",2002,70.813,9.3,317760.009765625,8.69685745,3.75037002563477,9.36999988555908,36.58589826,9428323.62,13536488.62,36873444.6
"Central African Republic","CAF","Sub-Saharan Africa","Low income",2002,44.063,40.1,250,4.22761345,1.5195699930191,5.7960000038147,19.5857164,317535.17,3668952.32,762351.52
"Canada","CAN","North America","High income",2002,79.490243902439,2.5,524349.975585938,8.85670376,4.99308013916016,7.65999984741211,77.57602197,820102.01,375367.89,6743004.03
"Switzerland","CHE","Europe & Central Asia","High income",2002,80.3853658536585,2.5,43569.9996948242,9.85215092,5.16421985626221,2.92000007629395,99.61526264,243623.83,81585.27,1737453.48
"Chile","CHL","Latin America & Caribbean","High income",2002,76.894,3.2,49119.9989318848,7.26602364,4.08121013641357,10.1700000762939,51.43395989,518229.08,311721.03,2864361.51
"Colombia","COL","Latin America & Caribbean","Upper middle income",2002,73.517,9.1,56770.0004577637,5.73295689,4.26812982559204,14.4799995422363,15.49542283,3705299.03,2237465.47,6464896.05
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2002,77.74,5,5519.99998092651,6.8690896,5.15044021606445,6.32999992370605,38.39468692,114123.62,102451.22,596359.49
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2002,77.105,2.5,26420.0000762939,7.11481667,9.57116985321045,3.30999994277954,40.08200834,350331.55,262305.99,2339264.3
"Cyprus","CYP","Europe & Central Asia","High income",2002,78.264,5.7,7170.00007629395,5.61565971,5.58166980743408,3.29999995231628,76.14944966,27941.92,11030.92,200501.06
"Djibouti","DJI","Middle East & North Africa","Lower middle income",2002,57.235,40.8,400.000005960464,3.58787632,8.44760036468506,28.0830001831055,24.86795846,25570.56,311078.67,101464.22
"Denmark","DNK","Europe & Central Asia","High income",2002,76.8951219512195,2.5,53840.0001525879,8.70251179,8.2130298614502,4.26999998092651,86.80213909,144992.24,71415.95,1522892.43
"Spain","ESP","Europe & Central Asia","High income",2002,79.5682926829268,2.5,312750,6.80052805,4.13457012176514,11.1499996185303,93.64321295,1110105.98,564219.45,10208135.62
"Estonia","EST","Europe & Central Asia","High income",2002,70.9048780487805,3.5,14949.9998092651,4.70043564,5.43460988998413,10.0299997329712,92.57887271,98588.99,28265.66,466799.52
"Ethiopia","ETH","Sub-Saharan Africa","Low income",2002,53.349,44.2,4570.00017166138,4.7126298,3.63245010375977,3.13000011444092,2.627151311,3211296.39,45180580.57,10885862.35
"Finland","FIN","Europe & Central Asia","High income",2002,78.119512195122,2.5,63439.998626709,7.62769508,6.01677989959717,10.4200000762939,80.5033269,220738.86,63244.43,1329373.95
"United Kingdom","GBR","Europe & Central Asia","High income",2002,78.1439024390244,2.5,530789.978027344,7.94137812,4.6285400390625,5.03999996185303,97.76231207,1257323.27,1084666.87,16430129.64
"Georgia","GEO","Europe & Central Asia","Upper middle income",2002,70.22,5.9,2960.00003814697,7.81474257,2.23501992225647,12.5900001525879,46.59432981,152811.17,194954.29,1451966.95
"Greece","GRC","Europe & Central Asia","High income",2002,78.6414634146341,2.5,96599.9984741211,8.23378086,3.42430996894836,9.97000026702881,78.52453997,277646.31,126267.81,2890073.96
"Croatia","HRV","Europe & Central Asia","High income",2002,74.7173170731707,4.6,20280.0006866455,6.20509815,3.78326988220215,15.0500001907349,77.98582524,188038.8,71689.86,1340066.43
"Hungary","HUN","Europe & Central Asia","High income",2002,72.3487804878049,2.5,55599.9984741211,7.12101698,5.17923021316528,5.6100001335144,63.28747808,478036.87,146306.15,3529018.32
"Ireland","IRL","Europe & Central Asia","High income",2002,77.6341463414634,2.5,43930.0003051758,6.67468452,4.10487985610962,4.21999979019165,56.97816906,104089.05,59702.25,896881.3
"Iceland","ISL","Europe & Central Asia","High income",2002,80.5024390243903,2.5,2240.00000953674,9.46551323,7.29892015457153,2.99000000953674,45.91825072,6192.59,3167.78,56104.08
"Israel","ISR","Middle East & North Africa","High income",2002,79.4512195121951,2.5,61080.0018310547,7.13073444,6.46506023406982,12.8900003433228,81.33140721,221043.13,94409.17,1212610.56
"Italy","ITA","Europe & Central Asia","High income",2002,80.229268292683,2.5,443470.001220703,7.86693525,4.43240976333618,9.21000003814697,95.64554881,1387366.83,603559.57,15466011.81
"Japan","JPN","East Asia & Pacific","High income",2002,81.5634146341463,2.5,1206599.97558594,7.35235357,3.40898990631104,5.3899998664856,73.92285411,3721633.46,1958242.73,28121964.63
"Kuwait","KWT","Middle East & North Africa","High income",2002,73.28,2.5,55590.0001525879,3.12468719,6.551109790802,1.10000002384186,100,50507.39,41220.9,276229.66
"Lebanon","LBN","Middle East & North Africa","Lower middle income",2002,75.488,8.6,16840.0001525879,9.28530312,2.55271005630493,8.08800029754639,9.425466024,94392.85,151571.25,772014.38
"Lesotho","LSO","Sub-Saharan Africa","Lower middle income",2002,44.898,18.5,409.999996423721,6.74524212,10.1004495620728,33.8600006103516,11.5308802,136056.06,1447980.8,370767.07
"Lithuania","LTU","Europe & Central Asia","High income",2002,71.7609756097561,2.5,11220.0002670288,6.14446115,5.80007982254028,13.0100002288818,80.44671074,268458.64,65595.38,1040200.22
"Latvia","LVA","Europe & Central Asia","High income",2002,70.9609756097561,3.4,7349.99990463257,5.77001858,5.60254001617432,13.8299999237061,52.41175179,183152.59,52984.04,818639.55
"Madagascar","MDG","Sub-Saharan Africa","Low income",2002,59.717,35.2,1120.00000476837,4.97110605,2.23179006576538,5.35400009155273,4.204318436,484931.83,7477200.06,2776440.76
"Mexico","MEX","Latin America & Caribbean","Upper middle income",2002,74.922,3.7,386000,5.0716424,4.45495986938477,3,18.09879201,3614070.22,5537769.57,17114971.16
"North Macedonia","MKD","Europe & Central Asia","Upper middle income",2002,73.0390243902439,7.5,8369.99988555908,8.97826958,3.30014991760254,31.9400005340576,12.91110925,70195.86,45435.42,591248.43
"Mali","MLI","Sub-Saharan Africa","Low income",2002,49.54,15.2,1399.99997615814,4.99772739,2.8962299823761,7.16400003433228,7.407277962,677194.71,9999023.71,2110240.42
"Malta","MLT","Middle East & North Africa","High income",2002,78.7390243902439,2.5,2319.9999332428,7.70661688,4.14305019378662,6.90000009536743,91.86797469,8284.58,5675.98,93219.37
"Mongolia","MNG","East Asia & Pacific","Lower middle income",2002,63.777,30.6,9600.00038146973,4.43462992,7.21078014373779,6.19999980926514,34.15819176,153650.9,289727.4,601688.57
"Malaysia","MYS","East Asia & Pacific","Upper middle income",2002,72.976,2.8,136380.004882813,2.66876554,7.65792989730835,3.48000001907349,66.07066571,677718.89,1025626.41,3753333.79
"Netherlands","NLD","Europe & Central Asia","High income",2002,78.2926829268293,2.5,167429.992675781,8.64911556,4.80590009689331,2.54999995231628,97.44142874,328473.74,240542.96,3935355.15
"Norway","NOR","Europe & Central Asia","High income",2002,78.9878048780488,2.5,34369.9989318848,9.00061893,7.43729019165039,4.01999998092651,59.2291805,125941.31,60959.99,1125052.67
"Nepal","NPL","South Asia","Lower middle income",2002,63.57,21.7,2789.99996185303,3.92991233,3.15283989906311,1.5440000295639,12.91434336,1135045.72,6234354.23,3936191.61
"New Zealand","NZL","East Asia & Pacific","High income",2002,78.8463414634146,2.5,31540.0009155273,7.90045929,6.40699005126953,5.28000020980835,75.48660676,151036.04,43761.66,852675.61
"Peru","PER","Latin America & Caribbean","Upper middle income",2002,71.882,22.9,27729.9995422363,4.93902206,2.82056999206543,4.84000015258789,14.06601551,967687.56,2307166.37,3810894.12
"Philippines","PHL","East Asia & Pacific","Lower middle income",2002,68.88,18.4,71569.9996948242,2.63767314,2.89222002029419,3.62599992752075,43.87050891,2837066.4,9876723.51,13676346
"Poland","POL","Europe & Central Asia","High income",2002,74.4975609756098,2.5,287320.007324219,6.0672431,5.38735008239746,19.8899993896484,80.52546174,1714857.15,580407.38,10153995.7
"Portugal","PRT","Europe & Central Asia","High income",2002,77.0658536585366,2.5,65599.9984741211,8.78642941,5.25871992111206,4.5,51.00560766,328487.72,230034,2907709.66
"Paraguay","PRY","Latin America & Caribbean","Upper middle income",2002,71.023,9.3,3779.99997138977,4.75770569,3.40773010253906,9.39000034332275,45.88077244,179451.88,354254.53,781529.32
"Romania","ROU","Europe & Central Asia","High income",2002,71.009756097561,2.5,93739.9978637695,4.57694626,3.5041298866272,8.10999965667725,51.97230977,998492.79,693488.06,7041774.78
"Saudi Arabia","SAU","Middle East & North Africa","High income",2002,72.92,5,272250,4.2493763,7.63688993453979,5.26999998092651,37.28527113,1185236.47,936917.9,3314963.19
"Senegal","SEN","Sub-Saharan Africa","Lower middle income",2002,58.675,22.9,4579.99992370605,3.95129871,2.59441995620728,5.65000009536743,14.63925679,389469.68,4400201.14,1670474.24
"Sierra Leone","SLE","Sub-Saharan Africa","Low income",2002,41.376,49.8,500,11.42102432,3.54527997970581,3.38800001144409,9.296184108,219195.55,4108946.37,960396.62
"Sao Tome and Principe","STP","Sub-Saharan Africa","Lower middle income",2002,62.687,12.8,59.9999986588955,10.66279221,2.72058010101318,17.6299991607666,14.81867034,3781.09,36011.64,25804.54
"Slovenia","SVN","Europe & Central Asia","High income",2002,76.0073170731707,2.5,15520.0004577637,8.02119923,5.67286014556885,5.92000007629395,28.80603237,102860.42,26693.41,509671.39
"Sweden","SWE","Europe & Central Asia","High income",2002,79.8463414634146,2.5,54020.0004577637,8.21006203,6.92434978485107,4.96999979019165,93.11634789,234623.21,99985.04,2286313.06
"Togo","TGO","Sub-Saharan Africa","Low income",2002,53.71,31.1,1340.0000333786,2.90226316,3.48744988441467,4.04699993133545,5.89863863,198596.41,2860334.73,789931.98
"Thailand","THA","East Asia & Pacific","Upper middle income",2002,71.089,16.4,184240.005493164,3.334723,3.86491990089417,1.82000005245209,20.18837832,3845443.96,4238153.34,12076830.39
"Tunisia","TUN","Middle East & North Africa","Lower middle income",2002,73.638,4.4,21709.9990844727,5.37092733,5.79006004333496,14.5500001907349,56.16356304,335310.79,433190.02,1780059.69
"Ukraine","UKR","Europe & Central Asia","Lower middle income",2002,68.2756097560976,2.5,303940.002441406,5.99220037,5.24006986618042,10.1400003433228,42.83853218,3746729.81,1446896.51,19150059.14
"Samoa","WSM","East Asia & Pacific","Lower middle income",2002,69.451,3.5,170.000001788139,4.64051867,3.84138989448547,5.09600019454956,47.83400776,6129.21,9144.3,35855.35
"Albania","ALB","Europe & Central Asia","Upper middle income",2003,74.828,7.5,4070.00017166138,7.06348991,3.13823008537292,16.9890003204346,41.08650252,106457.8,118886.92,564357.62
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2003,74.107,4.5,127660.003662109,6.89451599,3.53504991531372,15.3599996566772,48.47481229,1364894.64,1571267.73,8275119.93
"Armenia","ARM","Europe & Central Asia","Upper middle income",2003,72.348,21.1,3500,7.17937517,2.1450400352478,10.5939998626709,46.50704924,94756.4,110954.82,784556.42
"Austria","AUT","Europe & Central Asia","High income",2003,78.6317073170732,2.5,74459.9990844727,9.5472393,5.36183023452759,4.78000020980835,99.67331859,237801.53,79025.4,2119400.92
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2003,67.791,10.4,28569.9996948242,2.73471093,3.2861499786377,9.17000007629395,21.4468334,231078.66,859723.72,1911157.73
"Bangladesh","BGD","South Asia","Lower middle income",2003,66.886,14.9,28629.9991607666,2.30958843,2.06939005851746,4.32000017166138,20.90848136,4739883.21,26912883.65,21309139.5
"Bulgaria","BGR","Europe & Central Asia","Upper middle income",2003,72.0658536585366,4.5,47930.0003051758,7.19987392,3.99845004081726,13.7299995422363,50.56548615,357078.88,169065.62,3089412.68
"Central African Republic","CAF","Sub-Saharan Africa","Low income",2003,44.182,40.6,230.000004172325,4.39720249,1.53980004787445,5.81099987030029,19.54025698,307254.75,3711588.69,776904.73
"Switzerland","CHE","Europe & Central Asia","High income",2003,80.5365853658537,2.5,44840.0001525879,10.10937595,5.36935997009277,4.11999988555908,99.61553749,239590.71,80701.22,1741694.52
"Chile","CHL","Latin America & Caribbean","High income",2003,77.146,3.2,50200.0007629395,7.33330393,3.96345996856689,9.77000045776367,51.65471264,517251.28,303346.62,2930080.37
"Colombia","COL","Latin America & Caribbean","Upper middle income",2003,73.777,9.8,56110.0006103516,5.77505875,4.32513999938965,13.2200002670288,15.66127258,2843102.26,2178696.39,6457997.14
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income",2003,77.871,5.2,5800.00019073486,6.9691925,5.13373994827271,6.55999994277954,38.15527017,116495.68,99531.29,610710.03
"Cuba","CUB","Latin America & Caribbean","Upper middle income",2003,77.303,2.5,25629.9991607666,7.10295439,9.9408597946167,2.32999992370605,39.95512326,342003.03,259422.44,2385418.72
"Cyprus","CYP","Europe & Central Asia","High income",2003,78.385,6.1,7829.99992370605,5.63568783,6.6702299118042,4.1399998664856,76.19497826,27480.54,10872.12,203214.75
"Djibouti","DJI","Middle East & North Africa","Lower middle income",2003,57.427,38.2,409.999996423721,3.97685766,8.88984966278076,27.9640007019043,24.87632973,25611,314828.97,104942.24
"Denmark","DNK","Europe & Central Asia","High income",2003,77.1439024390244,2.5,59229.9995422363,8.9036293,8.12193012237549,5.40000009536743,86.80213981,141177.22,73593.94,1509079.49
"Spain","ESP","Europe & Central Asia","High income",2003,79.619512195122,2.5,318660.003662109,7.56392097,4.1734299659729,11.2799997329712,93.4587513,1121936.96,574299.12,10366494.8
"Estonia","EST","Europe & Central Asia","High income",2003,71.3170731707317,3.3,16940.0005340576,4.85959911,5.27309989929199,11.289999961853,92.54579523,90757.51,26914.09,458420.82
"Finland","FIN","Europe & Central Asia","High income",2003,78.3682926829268,2.5,71709.9990844727,7.93805122,6.16743993759155,10.4700002670288,80.76022722,220248.89,59645.87,1334916.7
"United Kingdom","GBR","Europe & Central Asia","High income",2003,78.4463414634146,2.5,543039.978027344,8.11239147,4.80573987960815,4.80999994277954,97.77801886,1251409.15,1084310.57,16417159.67
"Georgia","GEO","Europe & Central Asia","Upper middle income",2003,70.349,4.8,3160.00008583069,8.02952862,2.06559991836548,11.5100002288818,45.84220307,139004.93,182085.38,1446778.53
"Greece","GRC","Europe & Central Asia","High income",2003,78.8414634146341,2.5,100220.001220703,8.44915676,3.42933988571167,9.40999984741211,79.18024195,274894.84,124077.48,2901286.21
"Croatia","HRV","Europe & Central Asia","High income",2003,74.6139024390244,3.7,21610.0006103516,6.35763264,3.83135008811951,13.9200000762939,78.04491845,187047.51,70023.26,1352135.03
"Hungary","HUN","Europe & Central Asia","High income",2003,72.3,2.5,58189.998626709,8.11923409,5.79115009307861,5.78999996185303,62.99622209,468951.96,142567.69,3550464.05
"India","IND","South Asia","Lower middle income",2003,63.699,21.5,1011770.01953125,4.0084796,3.61340999603271,5.64300012588501,11.04516035,50948502.62,254933810,196687860.2
"Ireland","IRL","Europe & Central Asia","High income",2003,78.1390243902439,2.5,44090.0001525879,7.0096755,4.20493984222412,4.48000001907349,58.57256608,101168.9,58295.72,898017.03
"Iceland","ISL","Europe & Central Asia","High income",2003,80.9634146341464,2.5,2230.00001907349,9.72930241,7.24507999420166,4,47.9690222,6133.1,3148.46,56283.62
"Israel","ISR","Middle East & North Africa","High income",2003,79.6487804878049,2.5,62930.0003051758,7.06917286,6.34549999237061,13.5100002288818,82.08964173,183939.46,94391.32,1225317.92
"Italy","ITA","Europe & Central Asia","High income",2003,79.9829268292683,2.5,462200.012207031,7.83297729,4.54179000854492,8.86999988555908,95.64804388,1323198.78,613641.69,15603430.94
"Japan","JPN","East Asia & Pacific","High income",2003,81.76,2.5,1214949.95117188,7.48654842,3.46662998199463,5.25,74.36134337,3744347.9,1972128.54,28449721.23
